regulator	target	beta.sign.sum	prior
RELB	NFKBIZ	13	1
IRF7	PI4K2B	13	0
NR1I3	CHMP5	13	0
STAT2	IFIT5	13	1
JUN	AXUD1	13	1
SP4	TACR1	13	0
TEF	HGF	13	0
IRF7	KIAA0040	13	0
THAP1	JUNB	13	0
STAT2	SPSB1	13	1
ZFX	PIK3CA	13	1
NFYB	HLA-E	-13	1
E2F4	SLC25A30	13	1
YY1	LXRA	-13	1
VDR	ARFRP1	13	0
SMARCC2	JMJD3	-13	1
FOXO3	CCL22	13	0
MSC	IFI6	-13	0
IRF7	PNPT1	13	0
FOXO3	CCR7	13	1
NFKB1	CCL5	13	1
ATF3	VDR	-13	0
PROP1	CYP7B1	-13	0
TERF2	CCL3	-13	0
FOXI2	C10orf10	-13	0
TCF12	ESR1	13	1
PAX8	ABCB4	-13	0
PRDM4	PDGFB	-13	1
BRCA1	ABCA1	-13	1
TERF2	STARD5	-13	0
NR1I3	ANKRD22	13	0
GCM1	F8	13	1
TP73	PLCG1	13	1
ZNF148	OXTR	13	1
STAT2	IFI6	13	1
ESR1	PCTK2	-13	1
AR	CCL20	13	1
RFX8	RPL22	13	1
YY2	CYP19A1	-13	1
JUND	SLC11A2	13	1
TWIST1	NFKBIE	13	1
TCF12	SH3BGRL	13	1
RELB	TAP2	13	1
SP2	LBP	-13	1
JUNB	PAX8	13	1
TBX15	AQP9	-13	0
ZNF143	PAFAH2	13	1
ZIC1	CYP1B1	-13	1
ZNF219	C4orf32	13	1
MEF2A	CDKN1A	-13	1
MAX	CSDA	-13	1
EGR1	AMPH	13	1
MSC	PSME2	-12	0
ZNF263	DIO2	12	0
MAFG	CFLAR	-12	0
ZNF263	UPP2	12	1
ZNF263	ESR2	12	1
STAT2	ISG15	12	1
ZNF263	C4BPA	12	0
RELB	TNFAIP3	12	1
PLAGL1	SOD1	-12	0
ZNF263	AR	12	1
STAT2	STAT3	12	1
JUN	DHX58	12	0
PLAGL1	SCAP	12	1
TFAP2D	MYLK	-12	1
THAP1	PRKCD	12	1
PROP1	ISG20	-12	0
TEF	PPARG	12	0
IRF7	DNAPTP6	12	0
