regulator	target	beta.sign.sum	prior
TBX19	A4	-5	0
PPARG	BRCA2	-5	0
PAX6	LAMB2	-5	0
CTCFL	RAG1	5	1
SP3	YY1	-5	1
STAT5A	CCR5	5	0
TCF12	CCR7	-5	1
ELF2	S100A4	5	1
NR5A1	AXUD1	5	1
ATF5	CYP2E1	5	1
HOXB1	TRPC1	5	0
ELK1	NR5A2	-5	1
THRB	GALNT2	5	1
TFCP2	IDOL_M	5	1
PLAGL1	GNAI2	5	1
ZSCAN10	C10orf10	-5	0
NR3C1	ERBB2	5	1
PAX6	IL10	-5	0
NFKB2	IRF7	5	0
ELF5	LAMB2	-5	0
T	TLR3	5	0
ETV5	STAT6	-5	0
SOX15	PTPN1	-5	0
ZSCAN10	SH3BGRL	5	0
HOXB3	TNFRSF4	-5	0
TERF2	RARG	5	1
KLF7	STAT5B	5	1
PROP1	CD80	-5	0
YY2	NR5A1	-5	0
SP3	IL13	5	1
ZSCAN4	OPN1SW	5	0
IRF8	CD163	5	1
OLIG3	CLEC4D	-5	0
THAP1	ANGPTL1	-5	0
SP1	DMP1	5	0
IRF3	PLEKHA4	5	1
TEF	PDE7A	5	0
ZNF143	LXRA	5	1
ELF1	IRF7	-5	1
MYBL1	TREM1	-5	0
MEIS2	MS4A4A	5	0
ESR2	IFI30	5	1
ZNF740	CCL1	5	0
HAND2	ST8SIA1	5	0
STAT2	FCGR1A	5	0
RXRA	ARFRP1	5	1
ARX	NR3C1	-5	0
FOXO3	PNRC1	5	1
ELF1	SPSB1	-5	1
FOXP2	APOBEC3B	-5	0
ZSCAN10	TIFA	5	0
FOXH1	CAV1	5	0
IRF3	HEG1	5	1
IRF7	ETV7	5	1
MZF1	TIMP1	5	1
KLF16	CD80	5	0
REST	LGMN	5	1
YY1	TNC	-5	0
STAT5A	ST8SIA1	-5	0
FEZF2	ADORA2A	-5	0
HSF2	CD7	-5	0
RHOXF1	SLC16A1	-5	0
HOXB1	NR5A2	5	0
NKX3-1	LIPG	-5	0
HOXA3	DNASE1L2	5	0
NFKB1	B4GALT5	5	1
NFKB1	OXTR	5	1
SOX11	NR2C2	5	0
RELB	IFIT5	5	0
HSF2	TICAM1	-5	0
STAT2	IL1RN	5	0
NFKB1	OPTN	5	1
NPAS2	PDGFB	5	1
ARNTL	G6PC	-5	0
MZF1	KLF10	-5	1
BCL11A	GJA4	-5	0
STAT2	CASP4	5	0
IRF3	PADI2	-5	1
EGR1	DDX3X	-5	1
NFATC1	PUS1	-5	0
PROP1	SQLE	-5	0
NFATC1	RASGEF1B	5	1
TCF4	ERBB2	5	0
FOXF1	CAV1	-5	0
MIXL1	NR2F6	5	0
HSF2	STAT1	-5	1
ESR1	MDK	-5	1
TP73	ERBB2	5	1
IRF2	IFI16	5	0
HES1	SLC16A1	5	1
ZFY	ENPP1	-5	1
MSC	IL23A	-5	0
CTCF	TLR9	5	1
HOXA13	FASLG	5	0
TERF2	GBP1	-5	0
BCL6	AKT3	5	1
ARID5B	TNFRSF1B	-5	0
FOXA3	PIM1	5	0
IRF2	RASGEF1B	5	1
TFAP4	NR1D1	5	1
NFIA	PTGS2	5	1
STAT2	TBK1	5	0
BCL6	SERPINE1	-5	0
RXRA	PLA2	5	1
RXRA	LY6E	5	1
JUND	MVK	-5	1
CEBPA	ABCC6	5	1
MYC	SLC11A2	-5	1
ZNF263	RAG1	5	1
HIVEP1	SOCS2	5	1
TP53	TRPC1	5	0
ESRRG	STAT2	-5	0
RXRA	GSTP1	5	1
TFAP4	IL1R	-5	1
CREB1	TNC	5	0
SMAD2	ABCB1	5	0
PLAG1	KCNN2	5	1
EGR3	KLF10	-5	1
TFAP4	S100A6	5	1
BHLHE40	NR1I3	-5	0
FEZF2	DPYD	5	0
ZNF143	JMJD3	-5	1
PROP1	MT1M	-5	0
MNT	CD7	5	0
NFYB	OPN1SW	5	0
MAZ	BNIP3	-5	1
TBP	CCL20	5	0
PDX1	FASLG	5	0
ESRRG	SLFN5	-5	0
DPRX	CLEC4D	-5	0
NEUROG1	OPN1SW	5	0
OTX1	IRF8	5	1
GLI1	TNFRSF1B	5	1
CEBPE	CREB3	-5	0
CTCF	CCL15	5	1
ZFX	IL1B	-5	0
SP1	MT1X	5	1
THRB	PTEN	-5	1
KLF1	BST2	5	1
OTX2	RNF24	-5	1
VSX1	E2F3	-5	0
NR1D1	CCL20	5	0
POU5F1	AMPH	5	1
LHX6	CX3CL1	5	0
TCFL5	S100A6	-5	0
POU2F2	SAA2	-5	0
ZEB1	RXRB	5	0
NFYA	GEM	-5	0
RFX6	PDK1	-5	0
ELF2	PDE7A	-5	0
PROP1	MT1F	-5	0
TCFL5	SCNN1A	-5	0
RFX4	PNRC1	-5	1
IRF8	HEG1	5	1
ARID3A	ELF3	-5	0
IRF7	RARRES3	5	0
MYC	MADCAM1	5	1
SP9	CCR1	5	1
SPI1	CCL4	5	1
JUN	BCL2L1	5	1
KDM2B	PAX8	5	1
PLAG1	ELF3	5	1
JUN	MDK	5	1
NFKB1	IFNGR1	-5	1
MBD2	IFITM2	-5	1
MYC	KLRA1	5	0
NR3C1	PIK3CA	-5	0
TFCP2	LGALS3	5	1
POU4F1	IL1RN	-5	0
YY2	HOXA9	-5	1
ARNTL2	BCL2L1	-5	0
ELF1	KIAA0040	-5	1
NFE2	DDIT4	-5	0
HEY2	F8	-5	1
HOXB13	SERPINA1	-5	0
STAT5A	PYCARD	5	0
HOMEZ	ERLIN1	5	0
ETV7	AHNAK2	5	1
ASCL2	S100A6	-5	1
NFKB1	IL12B	5	1
ARID2	PIM1	-5	0
NFATC1	EP300	5	1
RARG	CD69	-5	0
ZIC1	PNRC1	5	1
RXRA	C3	5	1
RFX3	HK2	-5	0
E2F1	TERT	-5	1
FOXB2	CLEC2B	-5	0
FOXP2	ASS1	-5	0
NFE2L2	HK2	5	1
REST	THBD	5	1
MLXIPL	TXNIP	-5	1
E2F3	MT1X	-5	0
MYC	SNAI1	5	1
LMO2	LEF1	5	1
EOMES	EDN1	5	0
RELB	LTA	5	0
SPI1	RASGEF1B	5	1
THRB	C3	5	1
ZNF148	IL6	5	1
NFATC2	SCNN1A	5	1
KDM2B	PRDM1	5	0
TBX2	MT1G	5	1
ATF5	IL11	5	0
STAT5A	CLEC2B	5	0
ESRRG	CCND1	-5	1
MNX1	SLC25A30	-5	0
FOXA1	CXCL1	-5	0
ATOH8	MBP	5	1
JUN	CRY1	5	1
PAX6	EXT1	5	0
PAX8	CMAH	5	0
PAX6	CCL18aa	-5	0
IRF4	TNFSF15	5	1
TP73	NR1D1	5	1
ARNT2	STAT4	-5	0
BCL11A	SAA1	-5	1
TFAP2B	EPHA1	-5	1
ZIC3	RXRB	-5	1
CDX2	DUSP1	-5	0
FOXO3	IL12A	5	0
SREBF1	CCND1	-5	1
TGIF2	SLC6A6	5	0
BCL11A	CYP1B1	5	1
TFAP4	CD74	5	0
CEBPD	KCNN2	-5	0
PROP1	F11R	-5	0
ARNTL2	DDX3X	-5	1
STAT2	C4orf33	5	0
ELF1	RSAD2	-5	1
PLAG1	LCN2	5	1
HNF4A	CYP27B1	5	0
HAND2	ADORA2A	5	1
ZSCAN10	IFITM2	-5	0
ZSCAN10	EGR1	5	1
SRF	CCND2	5	1
CTCF	RNASE4	5	1
TCF3	GSTP1	5	1
KLF3	PLA2	5	1
TERF2	CREBB	-5	0
HIVEP1	SH3BGRL	-5	0
ZBTB4	CYP1B1	5	1
NFE2	RPL22	5	0
NRF1	WNT10B	-5	1
IRF7	TNFSF10	5	1
VDR	PTMA	-5	1
IRF8	HMGN1	-5	0
JUNB	ZBP1	5	1
TP73	HSP90AA1	-5	1
NFE2	KCNK5	-5	1
RXRA	PDK1	-5	1
ASCL2	HSD11B2	-5	1
PPARG	P2RY6	5	1
SOX9	LYZ	5	1
NFYA	CCL23	5	0
JUNB	TBK1	5	1
POU2F3	ACACA	-5	0
AHR	F11R	5	0
NFATC3	STEAP4	5	0
HEY2	CDKN1A	5	1
NHLH2	ARNTL	-5	1
ZBTB33	UCP2	5	1
NEUROD1	PSMB8	-5	1
IRF3	GMPR	5	1
POU3F1	EDN1	-5	0
PPARG	SERPINE1	5	0
THAP12	SERPINE1	-5	0
CREB5	IFNL1	-5	0
KLF5	PIGF	-5	1
EBF1	CD44	-5	1
AHR	ELF1	5	0
KLF15	HSD17B8	-5	1
TGIF2	F3	5	0
YY1	CCND1	-5	1
LMO2	IGHG1	5	1
HOXB9	OLR1	-5	0
MAX	TXNIP	5	1
EBF1	PTMA	-5	1
NHLH2	CCL18aa	5	1
IRF2	NLRP2	-5	1
TCF12	ABCB1	5	1
NR3C2	IL8RA	5	1
ASCL2	AHNAK2	5	1
RORC	MAP4K1	5	0
MLXIPL	TNF	-5	0
TCF12	STAT5B	-5	1
NR2F2	GSTP1	5	1
ZBTB3	ABCB1	-5	1
HES4	C9orf19	-5	1
ZIC4	C4A	5	1
VDR	CCND2	-5	1
GATA1	FN1	-5	1
CTCFL	DUSP1	5	1
ZBTB7B	MT1M	-5	1
GATA2	IL8RA	5	1
ELF1	GNRH2	-5	1
TFAP4	SMAD3	5	1
TCF3	S100A6	5	1
HEY2	ASPH	-5	1
SOX21	CD3G	-5	0
ZBTB7A	GATA3	5	1
FOXJ2	CD74	-5	1
HIC2	TNC	5	1
NR3C1	IL8RB	5	1
SP1	PIGF	5	1
RARA	ADRA2B	5	1
ZBTB33	S100A6	-5	0
JUNB	FCGR1A	5	1
PBX1	TRIM34	5	1
LMO2	ENO2	5	1
SP3	E2F3	-5	1
GRHL1	NKAP	5	1
RXRG	OLR1	5	1
STAT6	SCD1	5	1
LMO2	PTGDS	5	1
ETS1	DEFB1	-5	1
ZBTB3	CXCL3	-5	1
SREBF1	IGHE	5	1
ZNF148	ESRRB	-5	1
TFAP4	SCD1	5	1
ZBTB33	NKAP	5	1
